root_mean_squared_error,mean_absolute_error,mean_squared_error,confidence,accuracy,precision,recall,f1_score,confusion matrix,penalty,C,p_f_value,threshold,features
0.47974861141928293,0.23015873015873015,0.23015873015873015,0.7698412698412699,0.7698412698412699,0.0,0.0,0.0,"[[679   1]
 [202   0]]",l2,0.01,p_0.05,0.01,"['% Deli. Qty to Traded Qty GR', 'Beta GR']"
0.47974861141928293,0.23015873015873015,0.23015873015873015,0.7698412698412699,0.7698412698412699,0.0,0.0,0.0,"[[679   1]
 [202   0]]",l2,0.01,p_0.1,0.01,"['Low Price GR', '% Deli. Qty to Traded Qty GR', 'Beta GR', 'Net Profit GR', 'EPS GR']"
0.47974861141928293,0.23015873015873015,0.23015873015873015,0.7698412698412699,0.7698412698412699,0.0,0.0,0.0,"[[679   1]
 [202   0]]",l2,0.01,p_0.15,0.01,"['Low Price GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Beta GR', 'Net Profit GR', 'EPS GR']"
0.47974861141928293,0.23015873015873015,0.23015873015873015,0.7698412698412699,0.7698412698412699,0.0,0.0,0.0,"[[679   1]
 [202   0]]",l2,0.01,p_0.2,0.01,"['Low Price GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Beta GR', 'Dividend Value GR', 'Net Profit GR', 'EPS GR']"
0.47974861141928293,0.23015873015873015,0.23015873015873015,0.7698412698412699,0.7698412698412699,0.0,0.0,0.0,"[[679   1]
 [202   0]]",l2,0.01,p_0.25,0.01,"['Low Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Beta GR', 'Dividend Value GR', 'Net Profit GR', 'EPS GR']"
0.47974861141928293,0.23015873015873015,0.23015873015873015,0.7698412698412699,0.7698412698412699,0.0,0.0,0.0,"[[679   1]
 [202   0]]",l2,10.0,f_0.1,0.01,"['Open Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR', 'EPS GR']"
0.47974861141928293,0.23015873015873015,0.23015873015873015,0.7698412698412699,0.7698412698412699,0.0,0.0,0.0,"[[679   1]
 [202   0]]",none,0.001,f_0.5,0.01,"['Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Dividend Value GR', 'Net Profit GR', 'EPS GR']"
0.47974861141928293,0.23015873015873015,0.23015873015873015,0.7698412698412699,0.7698412698412699,0.0,0.0,0.0,"[[679   1]
 [202   0]]",l2,0.01,f_1,0.01,"['Low Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Dividend Value GR', 'Net Profit GR', 'EPS GR']"
0.47974861141928293,0.23015873015873015,0.23015873015873015,0.7698412698412699,0.7698412698412699,0.0,0.0,0.0,"[[679   1]
 [202   0]]",l2,0.01,f_2,0.01,"['Low Price GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Beta GR', 'Net Profit GR', 'EPS GR']"
0.31765866819348415,0.10090702947845805,0.10090702947845805,0.8990929705215419,0.8990929705215419,0.0,0.0,0.0,"[[793   0]
 [ 89   0]]",l2,0.1,p_0.01,0.02,"['Low Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Beta GR']"
